Accuracy,AUC,F1,MCC,Fold,Model,Experiment
0.7875,0.8113333333333334,0.711864406779661,0.5438201587947635,1,LR,Real_only
0.8375,0.9193333333333333,0.7547169811320755,0.6489248672581798,1,RF,Real_only
0.675,0.7773333333333333,0.5517241379310345,0.2977325790784217,1,SVM,Real_only
0.8625,0.9253333333333335,0.8,0.7032737300610193,1,XGBoost,Real_only
0.85,0.8553333333333333,0.8,0.68,1,LR,Real_plus_Synthetic_Balanced
0.8625,0.9373333333333334,0.7924528301886793,0.7059732072369208,1,RF,Real_plus_Synthetic_Balanced
0.625,0.8066666666666668,0.0,0.0,1,SVM,Real_plus_Synthetic_Balanced
0.8875,0.952,0.8363636363636363,0.7589785799668426,1,XGBoost,Real_plus_Synthetic_Balanced
0.975,0.9986666666666666,0.967741935483871,0.9486832980505139,1,LR,Real_plus_All_Synthetic
0.925,0.984,0.896551724137931,0.8390645410391885,1,RF,Real_plus_All_Synthetic
0.6375,0.852,0.06451612903225806,0.1452482234435317,1,SVM,Real_plus_All_Synthetic
0.9625,0.996,0.9491525423728814,0.9197945895664519,1,XGBoost,Real_plus_All_Synthetic
0.975,0.9993333333333333,0.967741935483871,0.9486832980505139,1,LR,Synthetic_only_TSTR
0.9125,0.9833333333333333,0.8852459016393442,0.8148554882642958,1,RF,Synthetic_only_TSTR
0.4125,0.8866666666666667,0.5607476635514018,0.15289415743128767,1,SVM,Synthetic_only_TSTR
0.9625,0.998,0.9508196721311475,0.9208529501523341,1,XGBoost,Synthetic_only_TSTR
0.8860759493670886,0.9081632653061225,0.8524590163934426,0.7599870258258343,2,LR,Real_only
0.8607594936708861,0.9517006802721089,0.8135593220338984,0.7027562104628631,2,RF,Real_only
0.7215189873417721,0.9340136054421769,0.47619047619047616,0.39553212618225003,2,SVM,Real_only
0.8481012658227848,0.9557823129251701,0.8,0.6775510204081633,2,XGBoost,Real_only
0.8860759493670886,0.9170068027210884,0.8524590163934426,0.7599870258258343,2,LR,Real_plus_Synthetic_Balanced
0.9113924050632911,0.964625850340136,0.8771929824561403,0.8109306289624516,2,RF,Real_plus_Synthetic_Balanced
0.620253164556962,0.9210884353741496,0.0625,0.03993324228711962,2,SVM,Real_plus_Synthetic_Balanced
0.9367088607594937,0.9863945578231292,0.9180327868852459,0.866817942267544,2,XGBoost,Real_plus_Synthetic_Balanced
0.9746835443037974,1.0,0.967741935483871,0.9482798605251253,2,LR,Real_plus_All_Synthetic
0.9746835443037974,0.9959183673469388,0.9666666666666667,0.9462585034013605,2,RF,Real_plus_All_Synthetic
0.6835443037974683,0.9551020408163265,0.32432432432432434,0.3067114514981104,2,SVM,Real_plus_All_Synthetic
0.9873417721518988,1.0,0.9836065573770492,0.9736488587092539,2,XGBoost,Real_plus_All_Synthetic
0.9746835443037974,1.0,0.967741935483871,0.9482798605251253,2,LR,Synthetic_only_TSTR
0.9240506329113924,0.9945578231292517,0.90625,0.8475028508569525,2,RF,Synthetic_only_TSTR
0.3924050632911392,0.972108843537415,0.5555555555555556,0.08859623899229176,2,SVM,Synthetic_only_TSTR
0.9873417721518988,1.0,0.9836065573770492,0.9736488587092539,2,XGBoost,Synthetic_only_TSTR
0.7848101265822784,0.7850340136054422,0.7301587301587301,0.5536189615887452,3,LR,Real_only
0.8607594936708861,0.917687074829932,0.8070175438596491,0.7009503376525226,3,RF,Real_only
0.7088607594936709,0.7874149659863945,0.6101694915254238,0.37809106059990294,3,SVM,Real_only
0.810126582278481,0.9197278911564626,0.7457627118644068,0.5945344938418763,3,XGBoost,Real_only
